track,track_id,artist,artist_id,album_id,album_name,track_score,plays,track_unique_days,dur_min,squared
"Touched by the Hand of God - 7"" Edit; 2015 Remaster",7xOoJsp1De6gHeFCS0ENPf,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),40.2,13,9,3.72,0.0
"Fine Time - 7"" Version; 2015 Remaster",6zJYzNtno7ehjOtDryEBIF,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),31.9,9,8,3.18,0.0
True Faith - 2015 Remaster,5uyJ7fbjk6xZzt5UL5jcQg,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),28.237100361316102,8,7,4.2,0.02439508208471609
Blue Monday '88 - 2015 Remaster,3PQEaRs2JEwtk79IqbQYt1,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),25.925878623557132,8,6,4.2,0.02439508208471609
White China - Special Re-Mix 2018 Remaster,6Svnu0Wu1tTs80BVM5u0SC,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,24.49161714598298,6,6,8.4,0.3709686723646887
Dancing with Tears in My Eyes - Special Re-Mix 2018 Remaster,5d6fv3EOvOhvfLGbO74xQJ,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,20.739051439927085,5,5,9.99,0.4576451157702857
Lode All'Inviolato - 2008 Remaster,5prIsUvI0KGSrz2oNX1UGp,Franco Battiato,4lianjyuR1tqf6oUX8kjrZ,3tZmzx3Og386HMV4vp4Dli,Caffé De La Paix (2008 Remastered Edition),20.5,6,5,3.89,0.0
One Small Day - Special Re-Mix Extra 2018 Remaster,6irQF2oc0oG9Jlunn1EUfl,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,20.438860500729024,5,5,8.53,0.3786475001918485
World in Motion - 2015 Remaster,1itQXrdFdilpN4OI4Nxh6Q,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),19.240602036773396,5,5,4.54,0.06331632546668307
Divine Intervention,1BqDpIOzTzfJCZZc89lpAe,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,19.232738173744877,8,3,4.77,0.08802597189017966
Divine Intervention,0xfsrFFZovlGjNtfIh4OUr,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,7ubZyifk1IUlccV9qKsOoM,Jealous Lover,19.232738173744877,8,3,4.77,0.08802597189017966
"Round & Round - 7"" Version; 2015 Remaster",5O9xPwtOVjjFviwu2oJZKu,New Order,0yNLKJebCb8Aueb54LYya3,2ODAEaYlqS88SU4ZZu1bI6,Singles (2016 Remaster),19.0,5,5,4.0,0.0
Rough And Twisted,095K0Tsihjj4xWc3mBY3Ci,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,17.665734691410734,7,3,4.66,0.07636054350883202
Rough And Twisted,1ilnthAuHvDnqO5rshz0Wy,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,1nk0CV2agKlG3G0dV4vyqK,In The Stars,17.665734691410734,7,3,4.66,0.07636054350883202
Jealous Lover,1XNnPznoORAP2t1rFKnBhj,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,17.4,7,3,3.83,0.0
Jealous Lover,2W1okJYTmZtO70IRDGEFVu,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,7ubZyifk1IUlccV9qKsOoM,Jealous Lover,17.4,7,3,3.83,0.0
Reap the Wild Wind - 2009 Remaster,2iOSFP5zgP7uX54oUAnPG7,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,48e5bZFgvlWlVN8KVdaNON,Quartet (2009 Remaster),16.7,5,4,3.82,0.0
Reap the Wild Wind - 2009 Remaster,6NeW5t7zeApR7H0QfHyUZu,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,2QDolqCMmtvKMT3EEQKFAv,The Very Best of Ultravox,16.7,5,4,3.82,0.0
Lament - Extended Version 2018 Remaster,4pHJ1IZHbe3qzqUMStFWHR,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,16.26494117700594,4,4,8.06,0.35030959769932324
We Came to Dance - Unedited Extended Version 2018 Remaster,4l6NV1DrIT9iVlC9paMXgb,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,16.255482527939773,4,4,8.01,0.3471981999801887
One Small Day - Special Re-Mix 2018 Remaster,2zcSUkyTehpfbLsQv5X2EF,Ultravox,3iUjRVvYCsMfz7tuAQtBDI,49eDZSAR7As1J68vvKNCVI,Extended,16.222875599328486,4,4,7.84,0.3364722366212129
Side Effects,463PiN9LTK31VIjID2h9iL,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,16.11529337283986,6,3,4.58,0.06770231850310146
Some Of Us,5igfpGVhHEuMbev0WS205q,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,6jfU2DEetUUo8nmxrzwkhc,Foreign Tongues,15.903970039515753,6,3,4.01,0.001248440099293643
